Id,Lat,Lon
205,49.2732944,-123.121765
206,49.2902778,-123.126096
207,49.2331512,-123.156159
208,49.2265906,-123.045243
209,49.27543,-123.112089
210,49.2750254,-123.070194
211,49.2168704,-123.128736
212,"49.2811467	",-123.100013
213,49.247629,-123.114628
214,49.2227146,-123.101036
215,49.2549729,-123.065361
216,49.2148826,-123.032124
217,49.2807813,-123.084321
218,49.279728,-123.077686
219,49.23737,-123.11434
220,49.230811,-123.050904
221,49.277496,-123.164967
222,49.263316,-123.199753
223,49.26694,-123.166445
224,49.293328,-123.043377
225,49.256693,-123.050046
226,49.298635,-123.157814
227,49.282564,-123.066236
228,49.28099,-123.142126
229,49.294055,-123.142656
230,49.280091,-123.078021
231,49.266565,-123.168846
232,49.25836,-123.072577
233,49.248063,-123.114676
234,49.23914,-123.161192
235,49.227279,-123.104649
236,49.203811,-123.050904
237,49.282003,-123.125644
238,49.2256558,-123.112287
239,49.2573504,-123.146692
240,49.2429604,-123.108232
241,49.2064319,-123.123287
242,49.2447779,-123.110337
243,49.2480679,-123.150956
244,49.2643291,-123.100329
245,49.3313494,-123.170376
246,49.3638446,-123.277701
247,49.3248643,-123.146847
248,49.3309043,-123.169113
249,49.3313858,-123.169474
250,49.3320571,-123.170332
251,49.3533817,-123.260155
252,49.030649,-122.81723
253,49.032576,-122.823981
254,49.0289382,-122.784183
255,49.034808,-122.809797
256,49.0310091,-122.286926
257,49.0483945,-122.263152
258,49.0873,-122.2225
259,49.0476172,-122.261009
260,49.0549966,-122.194931
261,49.0681442,-122.359123
262,49.0472535,-122.269527
263,49.0474179,-122.261001
264,49.053295,-122.314259
265,49.0588,-122.3375
266,49.047758,-122.326195
267,49.1406141,-122.306293
268,49.1403344,-122.306238
269,49.150035,-122.250953
